1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Unique Record Identifier,Original ID,Member Of,Resource Title,Resource Title alt,Digital File,External Link_Website Name,External Link_Website URL,Resource Description pri,Resource Description alt,Primary Language,Other Language,Resource Type,Keywords,Notes,Place,Place Type,Coordinates,Alternative Place Name,Cultural Group,Cultural Context,Social Group Setting,Production Technique,Equipment used,Date of creation,Date of digitization,Date of publication,Rights Ownership,Rights,TK Labels,BC Labels,Cultural Sensitivity,Access restriction,Reasons for restriction,Creator,Contributors,Contributor Type
UFC00280001,,"Food, Hospitality, and the Micro-cultures of Syria",Syria Recipes and Cultures,,Syria-Recipes_and_Cultures.pdf,,,,,,,Book,,,,,,,,,,,,,,,,Creative Commons BY-NC-SA,,,Low sensitive,accessible to public,,Aqeel Abdulla,,contributor
