1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Unique Record Identifier,Original ID,Member Of,Resource Title,Resource Title alt,Digital File,External Link_Website Name,External Link_Website URL,Resource Description pri,Resource Description alt,Primary Language,Other Language,Themes,Keywords,Notes,Country,Region,City,Location,Coordinates,Non-Geolocated Place,Cultural Group,Cultural Context,Social Group Setting,Production Technique,Equipment used,Date of creation,Date of digitization,Date of publication,Rights Ownership,Rights,TK Labels,BC Labels,Cultural Sensitivity,Access restriction,Reasons for restriction,Creator,Contributors
UFC00940001,,Documenting Street Art in Turkey (Test Project),Ankara Ayazi Ruhumu Kesiyor (Enriched),,streetart_001.jpg,,,"In the center, there's a view of Ankara with a man. Thoughts emerging from the man form the words 'Ankara Ayazi Ruhumu Kesiyor' (Ankara’s Cold Pierces My Soul) in the clouds. On the left, there are address signs, and on the right, a woman is depicted looking out of the window. ","Ortada bir adamın olduğu Ankara manzarası var. Adamdan çıkan düşünce bulutlarının içinde 'Ankara Ayazı Ruhumu Kesiyor' yazmakta. Solda adres tabelaları, sağda ise pencereden dışarı bakan bir kadın tasvir edilmiştir.",Turkish,,Community engagement;Identity,Street Art;Mural,Please contact if you are or if you know the owner of the artwork.,TUR,Anadolu,Ankara,"Meşrutiyet, Karanfil Sk., 06420 Çankaya/Ankara, Türkiye","[39.920124257514544,32.8551125503376]",,,"Drawing, painting and crafting",,Photography,,2019,22/08/2020,,Orhun Ugur,Creative Commons BY-SA,TK Attribution (TK A);TK Culturally Sensitive (TK CS),BC Provenance (BC P);BC Open to Collaboration (BC CB),Low sensitive,accessible to public,,Atione;Ros,Orhun Ugur
UFC00940002,,Documenting Street Art in Turkey (Test Project),Inancim geregi kapandim (Enriched),,streetart_002.jpg,,,"Stencil art, shows a character who covered up his face. In the text, it is written ""I cover my head because of my belief""","Şablon sanatı, yüzünü kapatan bir karakteri gösteriyor. Metinde ""İnancım gereği kapandim"" yazıyor.",Turkish,,Identity,Street Art;Stencil,Please contact if you are or if you know the owner of the artwork.,TUR,Anadolu,Ankara,"Koru, Doğan Taşdelen Blv., 06810 Çankaya/Ankara, Türkiye","[39.882292,32.686324]",,,Conflict,,Photography,,,03/04/2021,,Orhun Ugur,Creative Commons BY-SA,TK Attribution (TK A);TK Culturally Sensitive (TK CS),BC Provenance (BC P);BC Open to Collaboration (BC CB),Moderately sensitive,accessible to public,,,Orhun Ugur
UFC00940003,,Documenting Street Art in Turkey (Test Project),Antichrist Elephant (Enriched),,streetart_003.jpg,,,"Depiction of an elephant, it is written ""Anti Christ Elephant""","Fil tasviri, metinde ""Anti Christ Fil"" yaziyor.",English,,Community engagement;Identity,Street Art,Please contact if you are or if you know the owner of the artwork.,TUR,Anadolu,Ankara,"Yaşamkent, 3247. Sk. 3, 06810 Yenimahalle/Ankara, Türkiye","[39.864826,32.638375]",,,"Drawing, painting and crafting",,Photography,,,09/12/2020,,Orhun Ugur,Creative Commons BY-SA,TK Attribution (TK A);TK Culturally Sensitive (TK CS),BC Provenance (BC P);BC Open to Collaboration (BC CB),Moderately sensitive,accessible to public,,Soze,Orhun Ugur
UFC00940001_c,,Documenting Street Art in Turkey (Test Project),Ankara Ayazi Ruhumu Kesiyor (Core Metadata),,streetart_001.jpg,,,"In the center, there's a view of Ankara with a man. Thoughts emerging from the man form the words 'Ankara Ayazi Ruhumu Kesiyor' (Ankara’s Cold Pierces My Soul) in the clouds. On the left, there are address signs, and on the right, a woman is depicted looking out of the window. ",,,,,,,TUR,,Ankara,,,,,,,,,2019,,,,,,,,accessible to public,,Atione;Ros,
UFC00940002_c,,Documenting Street Art in Turkey (Test Project),Inancim geregi kapandim (Core Metadata),,streetart_002.jpg,,,"Stencil art, shows a character who covered up his face. In the text, it is written ""I cover my head because of my belief""",,,,,,,TUR,,Ankara,,,,,,,,,,,,,,,,,accessible to public,,,
UFC00940003_c,,Documenting Street Art in Turkey (Test Project),Antichrist Elephant (Core Metadata),,streetart_003.jpg,,,"Depiction of an elephant, it is written ""Anti Christ Elephant""",,,,,,,TUR,,Ankara,,,,,,,,,,,,,,,,,accessible to public,,Soze,
