1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Unique Record Identifier,Original ID,Member Of,Resource Title,Resource Title alt,Digital File,External Link_Website Name,External Link_Website URL,Resource Description pri,Resource Description alt,Primary Language,Other Language,Resource Type,Keywords,Notes,Place,Place Type,Coordinates,Alternative Place Name,Cultural Group,Cultural Context,Social Group Setting,Production Technique,Equipment used,Date of creation,Date of digitization,Date of publication,Rights Ownership,Rights,TK Labels,BC Labels,Cultural Sensitivity,Access restriction,Reasons for restriction,Creator,Contributors,Contributor Type,Handle
IF-RES-0071.1.0001,,Archiving the cultural performances/dances and food culture in Kakuma Camp,Musicians playing drums,,IF-RES-0071a0001.jpg,,,,,,,Photography,Photography;Lotuko Culture,,Kenya;Turkana;Kakuma Camp,country;county;address,,,,,,,,2013,,,Aman Garang Wel,Creative Commons BY-NC-SA,,,,accessible to public,,Aman Garang Wel,,contributor,
IF-RES-0071.1.0002,,Archiving the cultural performances/dances and food culture in Kakuma Camp,Food making,,IF-RES-0071a0002.mp4,,,,,,,Film & Media,Foods;Lotuko Culture,,Kenya;Turkana;Kakuma Camp,country;county;address,,,,,,,,2013-05,,,Aman Garang Wel,Creative Commons BY-NC-SA,,,,accessible to public,,Aman Garang Wel,,contributor,
IF-RES-0071.1.0003,,Archiving the cultural performances/dances and food culture in Kakuma Camp,Interview with dancers,,IF-RES-0071a0003.mp4,,,,,,,Film & Media;Interview,Interviews;Lotuko Culture,,Kenya;Turkana;Kakuma Camp,country;county;address,,,,,,,,2005,,,Aman Garang Wel,Creative Commons BY-NC-SA,,,,accessible to public,,Aman Garang Wel,,contributor,
IF-RES-0071.1.0004,,Archiving the cultural performances/dances and food culture in Kakuma Camp,Drums playing for dancers,,IF-RES-0071a0004.mp4,,,,,,,Film & Media,Dances;Lotuko Culture,,Kenya;Turkana;Kakuma Camp,country;county;address,,,,Music and singing,,,,,,,Aman Garang Wel,Creative Commons BY-NC-SA,,,,accessible to public,,Aman Garang Wel,,contributor,
