1,2,3,4,5,6,7,8,9,10,11
Unique Project Identifier,Collection title,Collection Photo,Related Project,Project Description Eng,Project Description Alt,Related People,Related Country,Access,Parent Project/Collection ID,Keywords
IF-PRJ-0071.1/01,Lotuko Culture,,,,,,,accessible to public,IF-PRJ-0071.1,Food;Dance;Interview
IF-PRJ-0071.1/01.01,Dances,,,,,,,accessible to public,IF-PRJ-0071.1/01,
IF-PRJ-0071.1/01.02,Interviews,,,,,,,accessible to public,IF-PRJ-0071.1/01,
IF-PRJ-0071.1/01.03,Foods,,,,,,,accessible to public,IF-PRJ-0071.1/01,
IF-PRJ-0071.1/01.04,Photos,,,,,,,accessible to public,IF-PRJ-0071.1/01,
